Date,Eto,Precip,Sol_Rad,Vap_Pres,Air_Temp,Rel_Hum,Wind_Speed,Wind_Dir,Soil_Temp
1/1/2014 01:00,0,0,0,0.5,3.1,70,1.4,50,10.6
1/1/2014 02:00,0,0,0,0.5,3.2,68,1.2,51,10.4
1/1/2014 03:00,0,0,0,0.5,1.6,75,0.9,44,10.3
1/1/2014 04:00,0,0,0,0.5,1,77,1,47,10.1
1/1/2014 05:00,0,0,0,0.5,2.3,69,1.2,73,10
1/1/2014 06:00,0,0,0,0.5,0.7,75,0.9,54,9.8
1/1/2014 07:00,0,0,1,0.5,1,74,1.1,64,9.7
1/1/2014 08:00,0,0,20,0.5,1.3,73,1,48,9.6
1/1/2014 09:00,0.07,0,199,0.6,5,69,1,356,9.5
1/1/2014 10:00,0.15,0,311,0.6,10.1,52,1.1,210,9.3
1/1/2014 11:00,0.23,0,435,0.6,12.2,45,1,212,9.3
1/1/2014 12:00,0.3,0,493,0.6,14.4,38,1.6,206,9.3
1/1/2014 13:00,0.31,0,487,0.7,15.7,38,1.8,183,9.5
1/1/2014 14:00,0.26,0,423,0.7,16.6,36,1.3,245,9.7
1/1/2014 15:00,0.19,0,310,0.7,17,35,1.3,210,9.9
1/1/2014 16:00,0.1,0,162,0.7,17.2,33,1,191,10.1
1/1/2014 17:00,0.05,0,26,0.6,14.3,40,1.3,144,10.3
1/1/2014 18:00,0.02,0,0,0.6,10,52,1.6,74,10.4
1/1/2014 19:00,0.02,0,0,0.6,9.6,54,1.3,67,10.5
1/1/2014 20:00,0,0,0,0.6,6.7,65,0.8,47,10.4
1/1/2014 21:00,0.01,0,0,0.6,6.8,64,1.3,49,10.4
1/1/2014 22:00,0,0,0,0.6,5.3,69,1.1,33,10.3
1/1/2014 23:00,0,0,0,0.6,5,69,1.1,34,10.2
1/2/2014 00:00,0,0,0,0.6,4,74,0.9,50,10.1
1/2/2014 01:00,0,0,0,0.6,3.7,76,1.3,55,10
1/2/2014 02:00,0,0,0,0.6,4.1,75,1.1,75,9.9
1/2/2014 03:00,0,0,0,0.6,3,79,0.8,51,9.7
1/2/2014 04:00,0,0,0,0.6,2.8,80,0.9,54,9.6
1/2/2014 05:00,0,0,0,0.6,1.3,85,0.7,17,9.5
1/2/2014 06:00,0,0,0,0.5,0.4,86,0.9,48,9.4
1/2/2014 07:00,0,0,1,0.6,1.1,86,1,41,9.3
1/2/2014 08:00,0,0,16,0.6,2,84,1,50,9.2
1/2/2014 09:00,0.06,0,175,0.7,5.9,73,1.1,136,9.1
1/2/2014 10:00,0.16,0,324,0.7,10.4,57,1.3,337,9
1/2/2014 11:00,0.25,0,432,0.7,14.2,46,1.4,242,9
1/2/2014 12:00,0.3,0,487,0.8,16,41,1.6,218,9
1/2/2014 13:00,0.3,0,480,0.7,17.2,38,1.4,220,9.2
1/2/2014 14:00,0.26,0,410,0.7,17.8,37,1.4,259,9.4
1/2/2014 15:00,0.18,0,263,0.8,18.1,36,1.5,210,9.7
1/2/2014 16:00,0.08,0,114,0.7,17.8,35,1,214,9.9
1/2/2014 17:00,0.05,0,17,0.7,14.2,45,1.2,87,10.1
1/2/2014 18:00,0.02,0,0,0.7,10.2,56,1.5,73,10.2
