GEOCODIGO,id,MESOREGIAO,MICROREGIA,LATITUDE,LONGITUDE,poly
1500602,Altamira,SUDOESTE PARAENSE,ALTAMIRA,-3.203,-52.206,"[[-55.38786395763372, -55.27988456142143, -55.20408517561801, -54.61344749629126, -54.106680121143825, -53.588330632843665, -53.1333805388467, -53.2040513945758, -52.051068358204965, -52.271945034887224, -51.9581177195848, -52.31290094812492, -53.17901327683037, -54.10005183330093, -54.84186288954062, -55.497789335233435, -55.48277431482804, -55.38786395763372], [-5.107507473733427, -5.515556916309504, -6.773719151711709, -9.53582903790287, -9.572198922043876, -9.611285836747067, -9.645309638089728, -6.436016072929746, -5.151403154542877, -3.722785972904462, -3.4770465471055196, -2.9023506667387626, -3.673739195008726, -4.231924132442936, -4.410238748645457, -4.620394561485219, -4.735696244400804, -5.107507473733427]]"
1300409,Barcelos,NORTE AMAZONENSE,RIO NEGRO,-0.975,-62.924,"[[-65.34282976111365, -65.31110864704, -64.36721000833886, -63.95748894887729, -61.47464722492179, -61.83993122309029, -62.736343168206375, -63.3720827788137, -64.825108077674, -65.34282976111365], [-1.6146340395656034, -1.778538812094029, -2.265121408719412, -2.4447614213212328, -1.5789698459724641, -1.4010628236922407, 1.5296268111009004, 2.2118593133932496, 1.2951091092079348, -1.6146340395656034]]"
1303809,São Gabriel da Cachoeira,NORTE AMAZONENSE,RIO NEGRO,-0.13,-67.089,"[[-70.04633024429513, -67.64949583245811, -66.31435837344401, -70.04633024429513], [0.06830691586772625, -1.5120729880321788, 0.7308640906596722, 0.06830691586772625]]"
1505304,Oriximiná,BAIXO AMAZONAS,OBIDOS,-1.766,-55.866,"[[-58.895413061236674, -58.8949850534721, -56.74901002646162, -56.089172907232914, -55.902526711961016, -56.20908441640978, -55.71794964696313, -58.895492169250154, -58.895413061236674], [0.26350718493972064, -0.010965426131343929, -1.6519514168556846, -1.9783335594000595, -1.9986597369194272, -0.5635648704887638, 2.402096146288235, 1.2276909085177978, 0.26350718493972064]]"
1304104,Tapauá,SUL AMAZONENSE,PURUS,-5.628,-63.183,"[[-67.66923073825629, -67.49067513757117, -65.03916904947974, -63.178971062704655, -62.856537884714506, -62.10284484564135, -62.83065320978484, -62.99133697142117, -65.90058570329651, -66.95817880892962, -67.66923073825629], [-6.043594302007387, -7.171314708735633, -7.073239179130003, -6.8461452848338755, -6.43164877251154, -5.45991097739273, -4.678248694354884, -4.531437884341743, -5.436978564486746, -5.419881554868655, -6.043594302007387]]"
1507300,São Félix do Xingu,SUDESTE PARAENSE,SAO FELIX DO XINGU,-6.645,-51.995,"[[-53.2040513945758, -53.1333805388467, -52.61997200960276, -52.25532747937173, -51.30428078948636, -51.2853905544258, -51.781706458495115, -52.178679752166204, -51.68386932807844, -51.688429269141444, -51.12525097672704, -51.14877079087996, -51.23844724866847, -50.72019791628063, -50.930190407924265, -51.447814100134195, -52.051068358204965, -53.2040513945758], [-6.436016072929746, -9.645309638089728, -9.68220453389904, -9.707813166544716, -9.772862805056748, -9.698893400583069, -8.379684058614195, -7.924989927120376, -7.022600019697135, -6.9270424329393725, -6.623847085658512, -6.21668752594915, -5.995568065939125, -5.17466023835544, -5.150575937151788, -5.150218572820745, -5.151403154542877, -6.436016072929746]]"
1300201,Atalaia do Norte,SUDOESTE AMAZONENSE,ALTO SOLIMOES,-4.372,-70.192,"[[-73.80155326092472, -73.73819506006971, -72.05120366559237, -71.3433233578949, -70.13586915893433, -73.80155326092472], [-7.111826892251296, -7.134687030527785, -7.102802007996538, -6.681323570646623, -4.287824709390062, -7.111826892251296]]"
1500503,Almeirim,BAIXO AMAZONAS,ALMEIRIM,-1.523,-52.582,"[[-55.70769058089055, -55.41362742727162, -54.86210865111499, -53.511291724463725, -52.99976132445816, -52.251867102183226, -51.77839372512899, -52.438673306549795, -52.43946831101647, -52.45551140955082, -54.872245128536974, -55.70769058089055], [2.4032111572120303, 1.5456696153677234, 0.3725190489393204, -1.3166800152842921, -1.7433789037881768, -1.5040674957535598, -1.1404151428099825, -0.9436147242849897, -0.9354706696873653, -0.830268963256834, 2.433743652157976, 2.4032111572120303]]"
5003207,Corumbá,PANTANAL SUL MATO-GROSSENSE,BAIXO PANTANAL,-19.009,-57.653,"[[-57.90233927437991, -57.83395684189739, -56.95521865706063, -56.98133262953312, -56.995659924322, -56.85630097115753, -55.39858294986372, -55.30664136883168, -55.13903854308956, -55.60221595127327, -56.72065229338538, -57.69291454949276, -57.752286759125724, -57.90233927437991], [-20.04211688551211, -20.935987201269487, -20.241877378816046, -20.180162077632584, -19.620955977041195, -19.613966346732862, -18.57994829493096, -18.24944417711672, -17.647775082550165, -17.36769574324377, -17.307542702577983, -17.626781494984556, -17.564466099182532, -20.04211688551211]]"
1302306,Jutaí,SUDOESTE AMAZONENSE,ALTO SOLIMOES,-2.747,-66.767,"[[-70.3489508376574, -70.57189303392772, -69.33351356502921, -68.30548466610176, -68.23903424173348, -66.92886477612903, -66.97269565143655, -66.59441847915737, -67.14277684189105, -67.75497585559974, -67.83402940723168, -68.62464919856048, -70.3489508376574], [-6.2903104121977895, -6.534525970727958, -6.361348734942477, -6.050927690879618, -5.927650301972956, -4.295431034909713, -3.791361922930279, -3.140414388523685, -2.618792897938511, -2.9718080940087477, -3.334380536657434, -3.692152498211689, -6.2903104121977895]]"
